id,supplier,country,region,altitude_meters,variety,process_method,purchase_date
1,royal,brazil,cerrado mineiro,960,mundo novo,Natural,2025-03-03
2,itc,vietnam,ban me thuot,536,robusta,Natural,2025-03-26
